Hebrew,English
לא ,No
את ,You
זה ,It
אתה ,are you
מה ,what
הוא ,he
על ,On
לי ,to me
של ,of
כן ,Yes
לך ,to you
אבל ,but
יש ,there is
שלי ,My
כל ,all
בסדר ,OK
עם ,With
היא ,She
שלך ,your
אם ,If
טוב ,Good
היה ,Was
אנחנו ,we
רוצה ,wants to
אז ,So
יודע ,Know
רק ,only
הם ,they
יכול ,Can
אותו ,him
אותך ,you
יותר ,More
ג ,third
כאן ,Here
אותי ,me
הזה ,this
שאני ,That I
למה ,Why
להיות ,to be
עכשיו ,now
או ,or
אחד ,one
משהו ,something
היי ,Hey
צריך ,Must
כמו ,same as
אל ,to
כך ,so
איך ,how
אין ,nothing
נכון ,Right
לעשות ,to do
תודה ,Thanks
לו ,to him
לנו ,us
שאתה ,You
מי ,who will
זאת ,this
שם ,Name
חושב ,thinking
כדי ,In order to
שהוא ,that he
כמה ,Some
פשוט ,simple
יודעת ,Knows
אותה ,her
אולי ,Maybe
באמת ,really
כי ,Because
הייתי ,I was
שזה ,of such
גם ,also
זו ,this
עושה ,Doing
האם ,the mother
ואני ,And i
דבר ,Nothing
שלו ,His
עוד ,More
כבר ,already
שלא ,Not
נראה ,seen
שלנו ,our
מאוד ,is very
לפני ,before
הרבה ,Much
בבקשה ,you are welcome
הולך ,Goes
קדימה ,forward
אומר ,Say
יהיה ,will be
יכולה ,Can
פעם ,time
זמן ,time
אתם ,you
עדיין ,Still
עד ,Until
ממש ,really
אלוהים ,God
ובכן ,Well
איפה ,where
לה ,her
קצת ,Some
מישהו ,someone
אותם ,them
לעזאזל ,Damn
אה ,Ah
לראות ,See
הנה ,here
הייתה ,was
פה ,Here
אבא ,father
הכל ,Everything
ללכת ,go
בכל ,in all
שהיא ,Which is
צריכה ,consumption
בדיוק ,exactly
אנשים ,people
אף ,Nose
לדבר ,Speak
חייב ,have to
שוב ,again
חשבתי ,I thought
היית ,You were
היום ,Today
שיש ,That
מצטער ,Sorry
מר ,Mr
צריכים ,Need
בוא ,Come on
היו ,there were
שאת ,That you
חושבת ,Thinks
קרה ,Happened
אחת ,One
לזה ,That
שלה ,its
אמא ,mother
אוהב ,Love
שום ,garlic
אחר ,Other
אפילו ,Even
ה ,God
אדוני ,The lord
תמיד ,Always
יכולים ,can
יום ,a day
חבר ,Friend